Abbottabad(34.15|73.2167),Islamabad(33.6989|73.0369)
Sahiwal(30.6706|73.1064),"Bahawalpur(29.3956|71.6722), Dera Ghazi Khan(30.05|70.6333), Faisalabad(31.418|73.079), Multan(30.1978|71.4711), Okara(30.81|73.4597), Rahim Yar Khan(28.4202|70.2952), Sargodha(32.0836|72.6711), Sheikhupura(31.7083|74)"
Sanghar(26.0464|68.9481),"Hyderabad(25.3792|68.3683), Nawabshah(26.2442|68.41)"
Sargodha(32.0836|72.6711),"Mianwali(32.5853|71.5436), Khushab(32.2917|72.35), Faisalabad(31.418|73.079), Jhang(31.2681|72.3181), Gujranwala(32.15|74.1833), Sahiwal(30.6706|73.1064), Mandi Bahauddin(32.5861|73.4917), Bhakkar(31.6333|71.0667), Gujrat(32.5736|74.0789), Jhelum(32.9333|73.7333), Lahore(31.5497|74.3436)"
Sheikhupura(31.7083|74),"Lahore(31.5497|74.3436), Gujranwala(32.15|74.1833), Sahiwal(30.6706|73.1064), Okara(30.81|73.4597)"
Shikarpur(27.9556|68.6382),"Sukkur(27.6995|68.8673), Jacobabad(28.2769|68.4514), Larkana(27.56|68.2264), Kashmore(28.4482|69.5857)"
Sialkot(32.5|74.5333),"Gujranwala(32.15|74.1833), Gujrat(32.5736|74.0789)"
Sibi(29.543|67.8773),"Dera Bugti(29.0362|69.1585), Dera Ismail Khan(31.8167|70.9167), Quetta(30.192|67.007), Khuzdar(27.8|66.6167)"
Sukkur(27.6995|68.8673),"Jacobabad(28.2769|68.4514), Larkana(27.56|68.2264), Shikarpur(27.9556|68.6382), Kashmore(28.4482|69.5857), Khairpur(27.5295|68.7592), Nawabshah(26.2442|68.41)"
Swabi(34.1167|72.4667),"Charsadda(34.1453|71.7308), Mardan(34.1958|72.0447), Peshawar(34|71.5)"
Swat(35.2227|72.4258),"Malakand(34.5656|71.9304), Mardan(34.1958|72.0447)"
Tando Allahyar(25.4667|68.7167),Hyderabad(25.3792|68.3683)
Thatta(24.7461|67.9243),Karachi(24.86|67.01) 
Toba Tek Singh(30.9667|72.4833),Faisalabad(31.418|73.079)
Turbat(26.0031|63.0544),"Gwadar(25.1264|62.3225), Khuzdar(27.8|66.6167), Lasbela(25.4833|65.4167)"
Zhob(31.3417|69.4486),Quetta(30.192|67.007)
